"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"43966"
"Hanno compilato il questionario";"40876"
"Tasso di compilazione";"93,0"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";"�"
"Uomini";"49,3"
"Donne";"50,7"
"Et� alla laurea (%)�";"�"
"Meno di 23 anni";"31,8"
"23-24 anni";"31,6"
"25-26 anni";"21,4"
"27 anni e oltre";"15,2"
"Et� alla laurea (medie, in anni)";"24,9"
"Cittadini stranieri (%)�";"6,0"
"Residenza (%)�";"�"
"Stessa provincia della sede degli studi";"53,5"
"Altra provincia della stessa regione";"26,0"
"Altra regione";"18,9"
"Estero";"1,6"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%)�";"�"
"Almeno un genitore laureato";"29,2"
"Entrambi con laurea";"10,6"
"Uno solo con laurea";"18,6"
"Nessun genitore laureato";"69,7"
"Diploma di scuola secondaria di secondo grado";"46,7"
"Qualifica professionale, titolo inferiore o nessun titolo";"23,0"
"Classe sociale (%)�";"�"
"Classe elevata";"23,6"
"Classe media impiegatizia";"27,9"
"Classe media autonoma";"24,8"
"Classe del lavoro esecutivo";"22,2"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%)�";"�"
"Liceale";"57,8"
"Liceo classico";"8,3"
"Liceo linguistico";"7,7"
"Liceo scientifico";"37,4"
"Liceo delle scienze umane";"3,9"
"Liceo artistico e musicale e coreutico";"0,6"
"Tecnico";"36,0"
"Tecnico economico";"31,1"
"Tecnico tecnologico";"4,9"
"Professionale";"2,3"
"Titolo estero";"3,7"
"Voto di diploma (medie, in 100-mi)�";"80,5"
"Hanno conseguito il diploma (%)�";"�"
"Nella stessa provincia della sede degli studi universitari";"51,0"
"In una provincia limitrofa";"24,1"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"10,0"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"9,1"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"1,5"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"0,6"
"All'estero";"3,7"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%)�";"45,3"
